usajobs_control_number,usajobs_url,position_title,agency,department,min_grade,max_grade,source_year,edu_category,edu_reasoning,edu_key_quote
838125400,https://www.usajobs.gov/job/838125400,IT SPECIALIST (ENTARCH) TITLE 32,Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting explicitly states that qualification must be met using experience alone and that education cannot be substituted. The qualifications section also lists experience-based qualification paths for GS-09 and GS-11, with no grade where a degree is strictly required.","For this job, you must meet the qualification requirement using experience alone. No substitution of education for experience is permitted for this occupational series and grade."
838269100,https://www.usajobs.gov/job/838269100,Information Technology Specialist or Data Scientist,Department of State,Department of State,GS,GS,2025,no_education,"The posting is experience-qualified at GS-9, GS-12, GS-13, and GS-14, and it explicitly says there is no substitute of education for specialized experience at GS-12 and above. The only education language is an optional GS-9 path, so no grade requires a degree with no experience alternative.","Applicants applying for the GS-12 grade level must Have at least 1 full year of specialized experience equivalent to the GS-11 level in the Federal service which provided you with the particular knowledge, skills and abilities to perform the duties of the position. ... There is no substitute of education for specialized experience for the GS-12 position."
838274300,https://www.usajobs.gov/job/838274300,INFORMATION TECHNOLOGY (INFOSEC/AUDITOR),Department of State,Department of State,GS,GS,2025,no_education,"The Education field explicitly states that education does not apply, and the Qualifications Summary says there is no substitute of education for specialized experience at GS-12 and GS-13, meaning experience alone qualifies. No grade level requires a degree.",Education requirements do not apply to this vacancy announcement.
838309100,https://www.usajobs.gov/job/838309100,IT Specialist (CM/ECF Tier 1 Service Desk Analyst),Judicial Branch,Judicial Branch,AD,AD,2025,no_education,"The posting explicitly states that no education is required to qualify, and the qualifications section is based on specialized experience with only desired certifications mentioned. There is no grade level that requires a degree with no experience alternative.",This position does not require education to qualify.
838613000,https://www.usajobs.gov/job/838613000,IT SPECIALIST (SYSADMIN),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting allows qualification through experience, education, and/or training, and also explicitly states specialized experience is sufficient. The doctoral/graduate education language is an alternative path, not a mandatory degree requirement.","Must have experience, education and/or training that has provided a basic knowledge in IT related;"
838616500,https://www.usajobs.gov/job/838616500,IT SPECIALIST (CUSTSPT),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting allows qualification through experience, education, or training at both GS-09 and GS-11, so no degree is strictly required. The degree language is presented as a substitution option, not an exclusive requirement.","At the GS-9 level, a masters or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to such a degree may be substituted. At the GS-11 level, a Ph.D. or equivalent, or 3 years of progressively higher level graduate education leading to such a degree."
838617700,https://www.usajobs.gov/job/838617700,IT SPECIALIST (SYSADMIN),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting includes a degree path at GS-11, but it is optional because the qualifications section also allows qualifying with experience or training. The education language is part of the alternative qualification pathway, not a requirement with no experience-only option.","GENERAL EXPERIENCE: Experience, education or training that has provided a basic knowledge of data processing functions and general management principles that enabled the applicant to understand the stages required to automate a work process."
838617800,https://www.usajobs.gov/job/838617800,IT SPECIALIST (NETWORK),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The education language is optional and explicitly says “If you are using Education to qualify for this position,” while the qualifications summary also allows “Experience, education or training” for both general and specialized experience. This means experience alone can qualify, so there is no strict degree requirement.","If you are using Education to qualify for this position: At the GS-11 level, a Ph.D. or equivalent, or 3 years of progressively higher level graduate education leading to such a degree."
838691000,https://www.usajobs.gov/job/838691000,IT SPECIALIST (PLCYPLN) - Title 32,Department of the Army,Department of the Army,GS,GS,2025,no_education,"This posting allows qualification through experience, education, or training, and the education language is presented as a substitution/alternative path rather than a mandatory degree requirement. The GS-11 wording specifically says the Ph.D. or graduate education is used to substitute for specialized experience, so there is no grade where a degree is strictly required.","At the GS-11 level, a Ph.D. or equivalent, or 3 years of progressively higher level graduate education leading to such a degree."
838705700,https://www.usajobs.gov/job/838705700,ITSPEC (SYSADMIN) (TITLE 32),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting offers education as one qualification path, but GS-09 and GS-11 can also be met by specialized experience, so a degree is not strictly required. The education text explicitly says 'In lieu of specialized experience' and the qualifications summary lists experience-based requirements at both grades.","In lieu of specialized experience, you may qualify with the following education or combination of both education and experience: GS09- Successful completion of a master's degree or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to a master's degree or equivalent graduate degree. GS11- Successful completion of a Ph.D. or equivalent doctoral degreeor3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree"
838725500,https://www.usajobs.gov/job/838725500,Chief Information Security Officer,Department of Housing and Urban Development,Department of Housing and Urban Development,ES,ES,2025,no_education,"The posting explicitly says there is no education qualification requirement, and the qualifications summary relies on executive leadership experience rather than a required degree. This is a no-education case, not an education-based qualification path.",This job does not have an education qualification requirement.
838874500,https://www.usajobs.gov/job/838874500,Lead IT Specialist (APPSW),Department of Defense,Department of Defense,GS,GS,2025,no_education,"The posting explicitly says education cannot be used instead of specialized experience for this grade level, and the qualifications are based on specialized IT experience. There is no degree requirement stated anywhere in the qualifications summary.",Substitution of education may not be used in lieu of specialized experience for this grade level.
838879300,https://www.usajobs.gov/job/838879300,IT SPECIALIST (SYSADMIN) (TITLE 32),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting offers education as one possible way to qualify, but it also explicitly allows specialized experience at GS-09 and GS-11. Because experience alone can qualify at each grade level, there is no grade where a degree is strictly required.","In lieu of specialized experience, you may qualify with the following education or combination of both education and experience: GS09- Successful completion of a master's degree or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to a master's degree or equivalent graduate degree. GS11- Successful completion of a Ph.D. or equivalent doctoral degreeor3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree"
838957300,https://www.usajobs.gov/job/838957300,INFORMATION TECHNOLOGY SPECIALIST,Department of the Air Force,Department of the Air Force,NF,NF,2025,no_education,"The posting explicitly says education substitution is not allowed, and the Qualifications Summary says the applicant must meet experience requirements. No degree is stated as strictly required.",This position does not allow for education substitution.
838986000,https://www.usajobs.gov/job/838986000,IT SPECIALIST (NETWORK) (TITLE 32),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting allows qualification through experience, education, or a combination at GS-09 and GS-11, and the education language is explicitly an alternative path rather than a mandatory requirement. The higher-grade requirements are experience-based, so no grade requires a degree with no experience-only alternative.","In lieu of specialized experience, you may qualify with the following education or combination of both education and experience: Successful completion of a master's degree or equivalent graduate degreeor2 full years of progressively higher level graduate education leading to a master's degree or equivalent graduate degree"
839044100,https://www.usajobs.gov/job/839044100,IT SPECIALIST (NETWORK) (T32),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The education section only describes an optional substitution path for specialized experience, and the qualifications summary makes clear applicants can qualify through experience. There is no grade where a degree is strictly required with no experience-only alternative.",SUBSTITUTION OF EDUCATION FOR SPECIALIZED EXPERIENCE: Ph.D. or equivalent doctoral degree or 3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree
839100300,https://www.usajobs.gov/job/839100300,IT SPECIALIST (CUSTSPT),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The education text gives an optional path only: 'If you are using Education to qualify for this position...' and the qualifications summary allows 'Experience, education or training' for both general and specialized experience. That means experience alone can qualify, so there is no strict degree requirement.","If you are using Education to qualify for this position, at the GS-11 level, a Ph.D. or equivalent, or 3 years of progressively higher level graduate education leading to such a degree."
839158200,https://www.usajobs.gov/job/839158200,IT SPECIALIST (INFOSEC),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting explicitly states there are no education requirements, and the qualifications section allows experience, education, or training as alternatives rather than requiring a degree. This is not an education requirement.",There are no education requirements for this vacancy announcement.
839188000,https://www.usajobs.gov/job/839188000,IT SPECIALIST (NETWORK) T32,Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The qualifications section requires IT-related experience and explicitly says specialized experience can include ""experience, education, or training""; this is an experience-based qualification path, not a degree-only requirement. The education field only asks for transcripts to support claimed education, without stating that a degree is mandatory.","In addition to the OPM IORs (Alternative A) specialized experience examples, specialized experience includes experience, education, or training that approaches techniques and requirements appropriate to an assigned computer applications area or computer specialty area in an organization."
839248400,https://www.usajobs.gov/job/839248400,IT SPECIALIST (APPSW),Department of Defense,Department of Defense,GS,GS,2025,no_education,"The posting requires specialized experience and states that education cannot be substituted at this grade level, so there is no degree requirement as an alternative to experience-only qualification. The qualifications summary is entirely experience-based.",Education is not substitutable for specialized experience at this grade level.
839254900,https://www.usajobs.gov/job/839254900,IT SPECIALIST (PLCYPLN) - T32 (Temporary),Department of the Army,Department of the Army,GS,GS,2025,no_education,"The posting offers education as a substitute for specialized experience, and the qualifications summary also allows experience, education, or training. This is an optional education path rather than a mandatory degree requirement.","At the GS-11 level, a Ph.D. or equivalent, or 3 years of progressively higher level graduate education leading to such a degree."
839255800,https://www.usajobs.gov/job/839255800,IT SPECIALIST (PLCYPLN) - T32 (Temp Promo),Department of the Army,Department of the Army,GS,GS,2025,no_education,"The posting offers education as a substitute for specialized experience, and the qualifications summary also allows experience, education, or training. This is an optional education path rather than a mandatory degree requirement.","At the GS-11 level, a Ph.D. or equivalent, or 3 years of progressively higher level graduate education leading to such a degree."
839261700,https://www.usajobs.gov/job/839261700,IT CYBERSECURITY SPECIALIST (INFOSEC),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting explicitly states there is no education requirement and that education substitution is not applicable. The qualifications language allows experience, education, and/or training, so a degree is not strictly required.",Education Requirements: N/A Substitution of Education for Specialized Experience: Not Applicable.
839262500,https://www.usajobs.gov/job/839262500,IT CYBERSECURITY SPECIALIST (NETWORK/INFOSEC),Department of Defense,Department of Defense,GG,GG,2025,no_education,"The posting explicitly states there is no substitution of education for qualifying experience at the GG-14 level, and the qualifications are based on one year of specialized experience. No degree is required.",There is no substitution of education for the qualifying experience at the GG-14 grade level.
839273200,https://www.usajobs.gov/job/839273200,INFORMATION TECHNOLOGY SPECIALIST (ENTARCH)(SYSANALYSIS),Department of Defense,Department of Defense,GS,GS,2025,no_education,"The posting requires specialized experience at GS-14 and explicitly says education cannot substitute for experience at this grade level. The mention of 2210 individual occupational requirements is also experience-based, not a mandatory degree requirement.",Substitution of education may not be used in lieu of specialized experience for this grade level.
839283700,https://www.usajobs.gov/job/839283700,Supv IT Specialist (OPERATING SYSTEMS/CUSTOMER SUPPORT),Department of Defense,Department of Defense,GS,GS,2025,no_education,The posting requires specialized experience and explicitly says education cannot be substituted for this grade level. There is no degree-only requirement; qualification is experience-based.,Substitution of education may not be used in lieu of specialized experience for this grade level.
839318700,https://www.usajobs.gov/job/839318700,Information Technology Specialist (APPSW/DATAMGT),Department of Defense,Department of Defense,GS,GS,2025,no_education,The posting says there is no education substitution at this grade level and the basic requirement is IT-related experience. It does not require a degree; qualification is based on experience and specialized experience only.,There is no substitution of education for experience at this grade level.
839323500,https://www.usajobs.gov/job/839323500,Information Technology Specialist (PLCYPLN),Department of the Navy,Department of the Navy,GS,GS,2025,no_education,The qualifications section requires specialized experience at the GS-12 level and does not mention any degree requirement. The empty education field and OPM reference do not establish an education requirement.,Your resume must demonstrate at least one year of specialized experience at or equivalent to the GS-12 grade level or pay band in the Federal service or equivalent experience in the private or public sector.
839362800,https://www.usajobs.gov/job/839362800,IT SPECIALIST (CUSTSPT),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting offers education only as a substitution path for experience, not as a mandatory requirement. The qualifications summary also allows experience, education, or training, so there is no grade level where a degree is strictly required.","General Experience: Possess experience, education or training that has provided a basic knowledge of data processing functions and general management principles to understand the stages required to automate a work process"
839372900,https://www.usajobs.gov/job/839372900,IT Specialist (DATAMGT),Executive Office of the President,Executive Office of the President,GS,GS,2025,no_education,"The posting requires IT-related experience and specialized experience at the GS-13 level; it does not state any degree is required. The education field is empty, and the qualifications section contains no mandatory education requirement.",Applicants must have a minimum of one year of specialized experience at a level of difficulty and responsibility comparable to the next lower grade or comparable pay band in the Federal service or equivalent experience in the private sector.
839413100,https://www.usajobs.gov/job/839413100,IT Cybersecurity Specialist (CUSTSPT),Department of Homeland Security,Department of Homeland Security,GS,GS,2025,no_education,"The posting explicitly says there is no positive education requirement in the Education field, and the Qualifications Summary allows either graduate education or experience for qualification at GS-09. Because education can be substituted for experience, no degree is strictly required.",This position does not have a positive education requirement.
839443300,https://www.usajobs.gov/job/839443300,Information Technology Specialist (Network),Department of Defense,Department of Defense,GS,GS,2025,no_education,"The posting explicitly states there is no education substitution at this grade level, and the qualification standard is based on IT-related experience and specialized experience, not a required degree. No bachelor’s degree or higher is mandated as a qualification path.",There is no substitution of education for experience at this grade level.
839467500,https://www.usajobs.gov/job/839467500,IT SPECIALIST (PLCYPLN),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting includes an education option at GS-11, but the Qualifications Summary clearly allows qualifying with experience, education, or training, so a degree is not strictly required. This is an optional education path, not an education-only requirement.","GENERAL EXPERIENCE: Experience, education or training that has provided a basic knowledge of data processing functions and general management principles"
839513400,https://www.usajobs.gov/job/839513400,IT Specialist (INFOSEC),Department of the Navy,Department of the Navy,GS,GS,2025,no_education,The posting qualifies solely by specialized experience at the GS-11 level; there is no education requirement stated in the Education field or Qualifications Summary. The summary is experience-only and does not require a degree.,Your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS-11 grade level
839524600,https://www.usajobs.gov/job/839524600,IT SPECIALIST (APPSW),Department of Defense,Department of Defense,GS,GS,2025,no_education,"This posting allows qualification at GS-07 through GS-11 by specialized experience, and the education language is only an optional substitution path. The GS-12 level also requires specialized experience, not a mandatory degree, so there is no grade where a degree is strictly required.",Education is not substitutable for specialized experience at the GS-12 grade level.
839534600,https://www.usajobs.gov/job/839534600,SUPERVISORY IT SPECIALIST (PLCYPLN),Department of the Navy,Department of the Navy,GS,GS,2025,no_education,"The Qualifications Summary requires specialized experience at the GS-12 level and does not mention any mandatory degree requirement. The education field is empty, so there is no grade where a degree is strictly required.",Your resume must demonstrate at least one year of specialized experience at or equivalent to the GS-12 grade level or pay band in the Federal service or equivalent experience in the private or public sector.
839557400,https://www.usajobs.gov/job/839557400,IT SPECIALIST (APPSW/INET),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting allows qualification by experience, education, or training, and the education field only requests transcripts if you choose to use education to qualify. There is no grade level where a degree is strictly required.","If you are using Education to qualify for this position, you must provide transcripts or other documentation to support your Educational claims."
839558200,https://www.usajobs.gov/job/839558200,IT SPECIALIST (APPSW),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting explicitly states there are no educational requirements, and the qualifications section allows qualification through IT-related experience with no degree-only requirement at any grade level.",There are no educational requirements for this position.
839617400,https://www.usajobs.gov/job/839617400,IT PROJECT MANAGER (PLCYPLN),Department of Defense,Department of Defense,GG,GG,2025,no_education,"The posting explicitly states there is no education substitution at GG-14, and the qualifications are based on IT-related experience and one year of qualifying experience. No degree is required.",There is no substitution of education for the qualifying experience at the GG-14 grade level
839632800,https://www.usajobs.gov/job/839632800,IT SPECIALIST (CUSTSPT),Department of Defense,Department of Defense,GS,GS,2025,no_education,The posting requires specialized experience at GS-13 and explicitly says education cannot be used instead of that experience. There is no grade level where a degree is mandatory with no experience alternative.,Substitution of education may not be used in lieu of specialized experience for this grade level.
839633300,https://www.usajobs.gov/job/839633300,Junior Technology Partner,Legislative Branch,Legislative Branch,HS,HS,2025,no_education,"The posting allows either a bachelor’s degree or relevant work experience, so there is an experience-only qualification path and no degree is strictly required. The rest of the text is experience/skill requirements and does not make education mandatory.","Bachelor’s degree in Information Technology or relevant work experience with microcomputer hardware and software, including networking and communications interfaces and relationships."
839634400,https://www.usajobs.gov/job/839634400,Supervisory Information Technology Specialist (Policy and Planning),Department of the Army,Department of the Army,GS,GS,2025,no_education,"The posting explicitly says qualification must be met using experience alone and that no substitution of education is permitted. The education field is empty, and the qualifications section confirms there is no degree requirement.","For this job, you must meet the qualification requirement using experience alone--no substitution of education for experience is permitted."
839639900,https://www.usajobs.gov/job/839639900,Supervisory Information Technology Specialist (Policy and Planning),Department of the Army,Department of the Army,GS,GS,2025,no_education,"The posting explicitly says experience alone is required and that education cannot be substituted, so there is no grade level where a degree is strictly required. The education field is empty aside from transcript instructions.","For this job, you must meet the qualification requirement using experience alone--no substitution of education for experience is permitted."
839644200,https://www.usajobs.gov/job/839644200,Supervisory IT Cybersecurity Specialist (Policy and Planning/Information Security),Department of Homeland Security,Department of Homeland Security,GS,GS,2025,no_education,"The posting explicitly says there is no positive education requirement and that education cannot be substituted for experience at this grade level, so qualification is based on experience only. There is no grade where a degree is required.",This position does not have a positive education requirement.
839667700,https://www.usajobs.gov/job/839667700,IT SPECIALIST (SYSADMIN/CUSTSPT) (Title 32),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting allows qualification through specialized experience, and the education language is framed as an optional path ('If you are using education to qualify' / '-OR-'). This means a degree is not strictly required because experience alone can qualify.","If you are using education to qualify for this position, you must provide transcripts to support your educational claims. Ph.D. or equivalent doctoral degree or 3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree"
839672700,https://www.usajobs.gov/job/839672700,Chief Data and Information Officer,Department of the Air Force,Department of the Air Force,IP,IP,2025,no_education,"The education field only says a bachelor's, master's, or advanced degree is desired/highly desired, not required. The qualifications summary focuses on experience and other prerequisites, and does not establish a mandatory degree requirement.",A bachelor's degree from an accredited institution is desired. A master's or advanced degree from an accredited institution is highly desired.
839693800,https://www.usajobs.gov/job/839693800,IT Specialist (Customer Support/Help Desk),Department of the Navy,Department of the Navy,NF,NF,2025,no_education,"The posting does not mention any degree requirement. It lists experience, skills, and certification requirements, but no education is required or used as a mandatory qualification.",(empty)
839697000,https://www.usajobs.gov/job/839697000,IT PROGRAM MANAGER (APPSW),Department of Defense,Department of Defense,GG,GG,2025,no_education,"The posting explicitly says there is no education substitution at the GG-14 level, but the Qualifications Summary provides an experience-only route at GG-14. Since experience alone qualifies and the degree is not strictly required, this is not an education requirement.",There is no substitution of education for the qualifying experience at the GG-14 grade level.
839716900,https://www.usajobs.gov/job/839716900,IT Project Manager (APPSW),Department of Defense,Department of Defense,GS,GS,2025,no_education,"The posting says education cannot be used instead of specialized experience for this grade level, and the qualifications section requires specialized experience to qualify. There is no grade where a degree is strictly required.",Substitution of education may not be used in lieu of specialized experience for this grade level.
839720400,https://www.usajobs.gov/job/839720400,"Branch Chief, Authorization Management Branch (AMB)",Other Agencies and Independent Organizations,Other Agencies and Independent Organizations,GS,GS,2025,no_education,"The posting explicitly states there is no positive education requirement and that education may not be substituted, while the qualifications are based on experience. Therefore no degree is required for qualification.","This occupation and grade level combination do not have a positive education requirement; therefore, applicants do not need to submit transcripts to qualify for this position.Education may not be substituted for experience for this series and grade combination."
839723600,https://www.usajobs.gov/job/839723600,IT SPECIALIST (INFOSEC),Department of the Navy,Department of the Navy,DS,DS,2025,no_education,"The posting says education may be substituted for specialized experience at some grades, which means experience alone can qualify; there is no grade where a degree is strictly required. The qualifications summary also emphasizes specialized experience as the basis for qualification.",The following education may be substituted in lieu of specialized experience: DS-03 (GS-09): Master's degree or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to a master's degree or equivalent graduate degree. DS-04 (GS-11): Ph.D. or equivalent doctoral degree or 3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree. DS-05 (GS-12): Not applicable.
839729700,https://www.usajobs.gov/job/839729700,IT Specialist (SysAnalysis/InfoSec),Department of Defense,Department of Defense,GS,GS,2025,no_education,"The posting allows qualification by specialized experience or by education, so a degree is not strictly required. The education text is only the optional substitute path and foreign education guidance.",OR Education: Master's or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to such a degree
839737100,https://www.usajobs.gov/job/839737100,IT Specialist (SYSANALYSIS),Department of Defense,Department of Defense,GS,GS,2025,no_education,"The posting states that education cannot replace the required specialized experience for this grade level, and the qualifications section only describes experience-based qualification. There is no degree requirement with no experience alternative.",Substitution of education may not be used in lieu of specialized experience for this grade level.
839748300,https://www.usajobs.gov/job/839748300,SUPV IT SPEC (NETWORK),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting explicitly states that education is not applicable, and the qualifications section allows experience, education, or training rather than requiring a degree. This means there is no grade level with a strict degree requirement.",Education requirements - Not applicable for this position
839764300,https://www.usajobs.gov/job/839764300,SUPV IT CYBERSECURITY SPECIALIST (CUSTSPT/INFOSEC),Department of Defense,Department of Defense,GG,GG,2025,no_education,"The posting explicitly says there is no education substitution at GG-13, and the qualifications section requires qualifying experience for GG-13 with no degree requirement stated. Since experience alone qualifies and no degree is required, this is no_education.",There is no substitution of education for the qualifying experience at the GG-13 grade level
839770800,https://www.usajobs.gov/job/839770800,IT Specialist (APPSW/SYSANALYSIS),Department of Defense,Department of Defense,GS,GS,2025,no_education,"The posting qualifies strictly through specialized experience at the listed grade level, and the education section explicitly says education cannot be used instead of experience. There is no grade where a degree is required.",Substitution of education may not be used in lieu of specialized experience for this grade level.
839777100,https://www.usajobs.gov/job/839777100,IT PROJECT MANAGER (PLCYPLN),Department of Defense,Department of Defense,GG,GG,2025,no_education,"The posting allows qualification by experience at GG-13, and the education language is an optional basic-requirements path rather than a mandatory degree requirement. The Education field also says there is no substitution of education for experience at GG-13, which means experience alone can qualify.",There is no substitution of education for the qualifying experience at the GG-13 grade level.
839785200,https://www.usajobs.gov/job/839785200,IT CYBERSECURITY SPECIALIST (APPSW/INFOSEC),Department of Defense,Department of Defense,GS,GS,2025,no_education,"The posting requires specialized experience at GS-12 and explicitly says education is not substitutable at that grade, but it does not say a degree is mandatory; it only bars education as an alternative. This means there is no grade where a degree is strictly required with no experience-only path.",Education is not substitutable for specialized experience at the GS-12 grade level.
839820000,https://www.usajobs.gov/job/839820000,IT Program Manager (SYSANALYSIS),Department of Defense,Department of Defense,GS,GS,2025,no_education,The posting makes experience the qualification standard and explicitly states that education cannot substitute for experience at this grade level. There is no degree requirement here; only specialized experience is required.,Substitution of education may not be used in lieu of specialized experience for this grade level.
839834000,https://www.usajobs.gov/job/839834000,ITSPEC (SYSADMIN) (TITLE 32),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,"The posting offers education only as an alternative to specialized experience, and the GS-09 and GS-11 sections both allow qualification through experience. Since there is an experience-only path at every grade level, no degree is strictly required.","In lieu of specialized experience, you may qualify with the following education or combination of both education and experience: GS09- Successful completion of a master's degree or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to a master's degree or equivalent graduate degree. GS11- Successful completion of a Ph.D. or equivalent doctoral degreeor3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree"
